cluster_id,count,centroid_lat,centroid_lon,first_date,last_date,persistence_days,max_frp,avg_frp,max_priority,max_fusion,dominant_label,industrial_context,nearest_facility_name,nearest_facility_type,dist_to_industrial_km
C2,25,21.105503199999998,72.64164120000001,2026-08-25,2026-08-28,4,11.92,4.29,0.85,0.98,persistent_industrial_source,Within known industrial zone,ArcelorMittal Nippon Steel India,Industrial works,0.54
C33,4,22.41728,69.0393325,2026-08-25,2026-08-26,2,2.63,1.38,0.44,0.21,insufficient_evidence,No nearby industrial zone,Port,Industrial area,58.79
C92,2,8.690545,80.847565,2026-08-26,2026-08-26,1,4.04,2.96,0.34,0.0,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,430.67
C93,2,8.775645,80.87497,2026-08-26,2026-08-26,1,6.12,5.68,0.34,0.0,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,421.95
C22,5,8.87595,80.67142600000001,2026-08-26,2026-08-26,1,21.83,13.49,0.43,0.01,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,407.28
C94,2,8.995955,80.83933999999999,2026-08-26,2026-08-26,1,7.74,5.0,0.45,0.0,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,397.04
C23,5,9.002478,80.677052,2026-08-26,2026-08-28,3,7.86,4.52,0.63,0.24,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,393.57
C95,2,9.040195,80.67593500000001,2026-08-26,2026-08-26,1,7.94,6.29,0.4,0.0,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,389.28
C96,2,9.078565000000001,80.471285,2026-08-26,2026-08-26,1,4.93,3.36,0.39,0.03,insufficient_evidence,No nearby industrial zone,TNSTC Bus Depot,Industrial area,382.3
C54,3,9.389380000000001,78.88473333333333,2026-08-26,2026-08-26,1,21.77,11.1,0.49,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,372.29
C97,2,9.80394,78.17557500000001,2026-08-26,2026-08-26,1,4.38,4.19,0.29,0.0,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,360.87
C55,3,9.916036666666665,78.07839666666666,2026-08-26,2026-08-28,3,5.83,5.58,0.34,0.01,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,356.28
C56,3,10.052463333333334,77.95327333333334,2026-08-26,2026-08-26,1,10.17,8.62,0.4,0.01,insufficient_evidence,No nearby industrial zone,"SIPCOT Mamandur, Cheyyar",Industrial area,350.03
C98,2,12.13041,79.65351,2026-08-26,2026-08-26,1,24.35,18.89,0.45,0.04,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Thermal power plant,56.6
C15,7,13.834187142857143,79.25659571428571,2026-08-26,2026-08-28,3,15.31,3.63,0.6,0.24,insufficient_evidence,No nearby industrial zone,Amararaja Batteries Small Batteries Division,Industrial works,30.41
C99,2,14.259685,80.117955,2026-08-26,2026-08-26,1,9.65,7.54,0.42,0.02,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,40.67
C57,3,22.357319999999998,82.30393,2026-08-26,2026-08-26,1,8.21,6.92,0.37,0.01,insufficient_evidence,No nearby industrial zone,Bhandhakhar Power Station,Thermal power plant,13.61
C100,2,28.515705,68.00283,2026-08-26,2026-08-26,1,1.93,1.76,0.19,0.01,insufficient_evidence,No nearby industrial zone,Bhuj Sector 98,Industrial area,606.53
C3,23,29.911556956521736,74.95094565217391,2026-08-26,2026-08-27,2,34.97,12.88,0.71,0.23,insufficient_evidence,No nearby industrial zone,Unnamed industrial facility,Industrial area,191.24
C7,14,20.793794285714284,85.25679142857143,2026-08-26,2026-08-27,2,11.97,2.75,0.61,0.82,industrial_fire,Within known industrial zone,Tata Steel Meramandali,Industrial area,1.36
C16,7,20.867498571428573,84.98988857142858,2026-08-26,2026-08-27,2,5.94,3.14,0.5,0.78,industrial_fire,Within known industrial zone,Angul Steel Plant,Industrial area,1.31
